,name,description,category
299,"'We're utterly disfranchised': Welcome to Buckingham, the constituency where votes don't count","As the general election ploughs on, a different type of campaign is raging in the sleepy constituency of Buckingham. In the territory, nestled between Oxford, Aylesbury and Milton Keynes, more than 75,000 voters have not been heard in Parliament since 2009.",Politics
505,Yann Kermorgant sends Reading to Wembley in play-off win over Fulham,"Reading are one game away from a return to the Premier League after beating Fulham on home turf to reach the Championship play-off final at Wembley. The Royals¡¯ remarkable season under Jaap Stam continues, with the Reading manager mobbed and his players ...",Sports
432,Samsung Pay's finally launched in the UK to take on Apple and Google,"Samsung Pay has finally launched in the UK to take on Apple and Google when it comes to paying with a smartphone. Users of Samsung phones will now be able to pay for things with a swipe of their phone when they add their Visa or Mastercard, including ...",ScienceAndTechnology
438,Shock alien life announcement on 'second Earth',"Proxima b was discovered in 2013 and it was seen as the breakthrough for finding extraterrestrial life elsewhere ? being dubbed ""second Earth"". The planet, which is 4.25 light years away and orbiting Proxima Centauri, is situated in its solar system¡¯s ...",ScienceAndTechnology
268,Physician age and outcomes in elderly patients in hospital in the US: observational study,"1 Department of Health Policy and Management, Harvard T. H. Chan School of Public Health, Boston, MA, USA 2 Division of General Internal Medicine and Primary Care, Brigham and Women¡¯s Hospital, Boston, MA, USA 3 Department of Health Care Policy, Harvard ...",Health
571,Play-offs RECAP: Huddersfield Town vs Sheffield Wednesday,"Huddersfield Town face Sheffield Wednesday at the John Smith's Stadium today in the first leg of their play-off semi-final. The match has been described as the ""biggest in recent history"" by both David Wagner and Dean Hoyle and the atmosphere building ...",Sports
168,Get tickets for time-travelling disco party Hot Dub Time Machine at 2017 Edinburgh Festival Fringe,"Due to high demand and in no way pre-planned at all, srsly, Hot Dub Time Machine has added an extra date at the Edinburgh Festival. The world famous party will now come to Edinburgh a day early on Fri 11 Aug, with tickets on sale at 9am on Thu 18 May.",Entertainment
587,Man jailed for 'depraved' backpacker attacks in Australia,"These are external links and will open in a new window An Australian man who brutally attacked two backpackers on a remote beach has been jailed for at least 17 years. Roman Heinze, 61, bound and indecently assaulted a Brazilian woman before mowing down ...",UK
141,London artist Remi Rough takes his street art style to France,"London painter Remi Rough is taking his street art style to France for a show celebrating four decades of graffiti. He is one of 50 artists being exhibited, with his work including a giant mural on La Condition Publique arts centre in Roubaix, where the ...",Entertainment
381,Romney tax return 'hacker' Dr Evil gets his sentence reviewed,"Michael Mancil Brown, aka Dr Evil, who tried to extort a million dollars from PricewaterhouseCoopers on the basis that he'd nicked Mitt Romney's tax returns, has had a win on appeal and will be sentenced anew. Brown's original four-year sentence (and US$ ...",Politics
443,"Travel IT biz reportedly testing 100TB SSDs, which could mean ? oh my gosh ? exabyte racks","Speaking in Tech: WTH is NVMe? Basically it just makes things go a bit quicker Global travel systems business Amadeus is testing 100TB SSDs. Paul Hubert, from the CTO office in Amadeus, revealed the news at a Micron SolidScale launch event in London yesterday.",ScienceAndTechnology
326,Chloe keeps working to beat bullies,"A TEENAGER who has been honoured by the prime minister for her charity work is now working on creating a code of conduct to prevent cyber-bullying. Chloe Hine, of Havant, set up Beat the Bullies as a way of helping others who had suffered at the hands of ...",Politics
522,Arsenal and Liverpool set to go head to head for prolific hit man,"Liverpool and Arsenal are set to battle for the signature of Olympique Lyon striker, Alexandre Lacazette. The Frenchman has been one of the most consistent strikers in Europe over the past three seasons, scoring at least 20 league goals in each of those ...",Sports
345,Green Party promise to end period poverty with free sanitary towels for poor women and girls,"Women and girls from poor backgrounds should be given access to free sanitary products say the Green Party. The party, which is a targeting Bristol West in the upcoming general election on June 8, has promised to end period poverty if elected to government.",Politics
680,Hertfordshire and Essex braced for Washout Wednesday,"Today has been dubbed Washout Wednesday, with up to a month's worth of rainfall expected to fall within one day by some forecasters. Yesterday's tropical weather will be a distant memory for most parts of Hertfordshire and Essex and the Environment Agency ...",UK
64,'We regard it a privilege to have had this opportunity' - Caledonian loses tender at Oban mart,"Caledonian Marts has confirmed it has lost its tender at Oban Livestock Centre (OLC) after more than 20 years. The operation had been put out to tender and it was expected United Auctions would be the new operator. However, this has not yet been confirmed.",Business
325,"Theresa May, Jeremy Corbyn and Tim Farron praise 'dedicated journalism' of local media",Political leaders in the UK have praised the power of campaigning and investigative journalism as votes start to come in for a national award the Derby Telegraph has been nominated for. The Derby Telegraph's Aston Hall abuse scandal investigation has been ...,Politics
