Score,Review,SNS,Addr
5,안녕하세요.   데일리 신청해 봅니다. 어렸을 적 부터 장이 좋지 않았는데 고기 인스턴트 음식을 좋아하다 보니 장 상태가 더욱 안좋아 졌어요. 업무에 지쳐 스트레스 또한 심한 것 같구요.   체험신청합니다. 빨리 먹어보고 건강한 장을 경험해 보고 싶어요 ^^,twitter,경기도
2,오!! 안그래도 장이 안좋아서 아침마다 고생이거든요~~  먹고 건강해지고 싶네용 ^^,facebook,서울특별시
2,요즘 장이 안좋은지 하루종일 더부룩하고 배변후에도 시원하지 않네요.꼭 체험해보고싶습니다.,facebook,서울특별시
3,우리 아이가 은가를 동글 동글 염소 똥처럼 눈답니다. 매번 너무 걱정이랍니다. 꼭  을 받아보고 싶습니다,facebook,서울특별시
5,이것저것 유산균을 먹어봤지만 이거다~ 하는걸 아직 못만났어요. 장이 예민한 우리 작은아들과 남편을 위해 도전해봅니다. 좋은 기회가 되길바래요~~~^^,kakaostory,경상남도
3,항상 소화가 잘 되지않는 와이프를 위하여 선물하고 싶습니다. 아이 둘 보느라 식사를 제 때 못하여 그런지.. 을 이용해보고 싶스비다,facebook,부산광역시
1,요즘 넘 피곤해서 체험해 보고 싶어요.,facebook,대구광역시
1,향상 변비가 있고 소화가 잘 되지 않습니다.,twitter,대구광역시
2,이랫배는묵직하고 대변이 잘안나옵니다..턱주위에 뾰루지도 자주나요..   체험분 당첨되었으면 좋겠습니다,twitter,울산광역시
5,작은 설사와 배변장애로 작년초 부터 프로바이오 틱스를 복용하고 있습니다. 미국 prolife company와 캐나다 natural one것 일년 가까이 복용하고 있지만 가격도 비싸고 만족할만한 효과도 아직도 못보고있네요 오늘 한겨례신문 광고를 보고 첫눈에 호감과 관심이 가 체험단에. 바로 신청합니다. 제몸에 안성마츰인 프로바이오틱스가 되기를기대해 봅니다. ♡♡,kakaostory,경기도
4,회사에서 화장실가서 앉아있을때마다 눈치보여서 힘들어 죽겠네요. 변비가 심해서 화장실에 오래 앉아있는데..이것또한 스트레스를 받고 있어요. 장활동이 건강해질수 있도록 도와주세요,facebook,전라북도
2,나이들면서 건강관리가 어렵네요  으로 건강관리하고싶어요,facebook,전라북도
2,아연이 필요한 신랑의 건강을 위해 신청해봅니다,facebook,전라북도
4,나이가 먹을수록 몸 챙겨야된다는 말이 점점 몸으로 느껴지네요 아이재활치료를 다니느라 식사가 일정치않고 몰아먹다보니 속이 안좋아졌는지 자주 쓰리네요 아직 이렇다하는 제품을 못만나서 체험해보고 싶어요,kakaostory,서울특별시
5,저는 직업 특성상 잦은 야근과 스트레스로 장건강이 좋지 않습니다. 기름진 음식을 먹는 날엔 설사로 고통스럽고 평소엔 변비와 배에 가스가 가득 차서 고생합니다.   데일리에 관심을 가지고 있습니다. 면역력을 길러주는 성분도 포함하고 있다하니 제게 필요한 유산균임에 틀림없습니다. 편안하고 건강한 장을 위해 파이팅!,facebook,경상북도
5,"장건강이 많이 안좋아 수술까지 했답니다. ㅠㅠ 그래서 늘 걱정인 저이기에 이렇게 기쁜 소식을 듣고 체험단 신청합니다. 건강한 사람보다는,, 장건강이 좋지 않은 환자의 입장에서 체험의 효과는 더더더욱 많이 느낄 것이라 샣악합니다. 꼭 체험단으로 뽑아주세요. 건강도 챙기고, 제품의 효과를 느끼며 제품의 우수성도 널리 알리고 싶습니다.",facebook,부산광역시
5,"배가 자주 아파서 병원을 찾았지만 위장기능 저하 외엔 별 다른 진단이 없었어요. 다행이지만, 약은 증상을 완화 해 주고 통증을 줄여줄 뿐 근본적으로 위장을 튼튼하게 만들어주지는 못하더라고요. 바쁜 일상으로 생활속에서 다 챙기지 못하는 위장 건강을 위해, 아기때 부터 경험했던, 유산균이라면 믿을 수 있는  제약의 새로운 유산균 프로그램  을 체험해보고 싶어요 ! 흔한 비염 흔한 복통 흔한 트러블을 가지고 사는 얼굴하얀 도시여자가 건강미인으로 속부터 튼튼해지도록 도와주세용 ^^",facebook,
